TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1517581050,"North Station","203","Haverhill",1517581200,0,"1","All Aboard"
1517581050,"North Station","159","Newburyport",1517582400,0,,"On Time"
1517581050,"North Station","407","Wachusett",1517583600,0,,"On Time"
1517581050,"North Station","313","Lowell",1517584320,0,,"On Time"
1517581050,"North Station","205","Haverhill",1517585400,0,,"On Time"
1517581050,"North Station","107","Rockport",1517585700,0,,"On Time"
1517581050,"North Station","315","Lowell",1517587920,0,,"On Time"
1517581050,"North Station","409","Wachusett",1517588100,0,,"On Time"
1517581050,"South Station","073","Greenbush",1517581500,0,"12","Now Boarding"
1517581050,"South Station","807","Providence",1517582100,0,,"On Time"
1517581050,"South Station","705","Forge Park / 495",1517582400,0,,"On Time"
1517581050,"South Station","909","Stoughton",1517582700,0,,"On Time"
1517581050,"South Station","759","Readville",1517582700,0,,"On Time"
1517581050,"South Station","607","Needham Heights",1517583180,0,,"On Time"
1517581050,"South Station","007","Middleboro/Lakeville",1517583420,0,,"On Time"
1517581050,"South Station","511","Worcester / Union Station",1517584500,0,,"On Time"
1517581050,"South Station","809","Providence",1517585100,0,,"On Time"
1517581050,"South Station","075","Greenbush",1517585400,0,,"On Time"
1517581050,"South Station","761","Readville",1517586300,0,,"On Time"
1517581050,"South Station","063","Plymouth",1517586600,0,,"On Time"
1517581050,"South Station","707","Forge Park / 495",1517587200,0,,"On Time"
